LAT,LON,MINY,MAXY,DRANGE,NPHOTO,NYEARS
45.312062,-75.827048,2007,2014,7,5,4
45.312087,-75.826988,2007,2014,7,5,4
45.312168,-75.826786,2007,2014,7,4,4
45.312222,-75.826653,2007,2014,7,5,4
45.312332,-75.829412,2007,2016,9,8,6
45.312339,-75.831365,2007,2016,9,6,6
45.312340,-75.831363,2007,2016,9,6,6
45.312348,-75.826339,2007,2014,7,5,4
45.312349,-75.826336,2007,2014,7,5,4
45.312464,-75.826050,2007,2014,7,5,4
45.312487,-75.825990,2007,2014,7,5,4
45.312519,-75.829349,2007,2016,9,9,5
45.312620,-75.825660,2007,2014,7,5,4
45.312626,-75.825644,2007,2014,7,5,4
45.312660,-75.830217,2007,2016,9,6,6
45.312694,-75.834083,2007,2015,8,6,5
45.312773,-75.834014,2007,2015,8,6,5
45.312872,-75.833928,2007,2015,8,5,5
45.312876,-75.835379,2007,2015,8,6,5
45.312878,-75.833923,2007,2015,8,5,5
45.312890,-75.835411,2007,2015,8,6,5
45.312923,-75.835487,2007,2015,8,6,5
45.312938,-75.824929,2007,2014,7,5,4
45.312939,-75.835524,2007,2015,8,6,5
45.312968,-75.835591,2007,2015,8,6,5
45.312974,-75.827572,2007,2015,8,6,5
45.313000,-75.835659,2007,2015,8,6,5
45.313019,-75.835701,2007,2015,8,6,5
45.313054,-75.835776,2007,2015,8,6,5
45.313061,-75.827357,2007,2015,8,6,5
45.313073,-75.835819,2007,2015,8,6,5
45.313108,-75.835894,2007,2015,8,6,5
45.313114,-75.827225,2007,2015,8,6,5
45.313121,-75.835923,2007,2015,8,6,5
45.313166,-75.834065,2007,2015,8,7,5
45.313184,-75.836060,2007,2015,8,6,5
45.313199,-75.834139,2007,2015,8,7,5
45.313216,-75.824241,2007,2014,7,5,4
45.313222,-75.834191,2007,2015,8,7,5
45.313225,-75.826949,2007,2015,8,6,5
45.313226,-75.836144,2007,2015,8,6,5
45.313242,-75.834237,2007,2015,8,7,5
45.313263,-75.833657,2007,2015,8,6,5
45.313264,-75.824637,2007,2014,7,5,4
45.313265,-75.826851,2007,2015,8,6,5
45.313269,-75.824099,2007,2014,7,5,4
45.313269,-75.834298,2007,2015,8,7,5
45.313291,-75.834348,2007,2015,8,7,5
45.313320,-75.834413,2007,2015,8,7,5
45.313328,-75.823953,2007,2014,7,5,4
45.313354,-75.834491,2007,2015,8,7,5
45.313370,-75.834526,2007,2015,8,7,5
45.313371,-75.836152,2007,2015,8,6,5
45.313372,-75.826587,2007,2015,8,6,5
45.313379,-75.829048,2007,2015,8,5,5
45.313384,-75.826558,2007,2015,8,6,5
45.313402,-75.834599,2007,2015,8,7,5
45.313403,-75.823767,2007,2014,7,4,3
45.313424,-75.834649,2007,2015,8,7,5
45.313452,-75.834712,2007,2015,8,7,5
45.313454,-75.823640,2007,2014,7,4,3
45.313471,-75.834756,2007,2015,8,7,5
45.313475,-75.831016,2007,2016,9,7,6
45.313487,-75.836953,2007,2015,8,6,5
45.313503,-75.834826,2007,2015,8,7,5
45.313509,-75.830897,2007,2016,9,7,6
45.313522,-75.833442,2007,2015,8,5,4
45.313525,-75.834878,2007,2015,8,7,5
45.313537,-75.826179,2007,2015,8,6,5
45.313553,-75.826138,2007,2015,8,6,5
45.313558,-75.834952,2007,2015,8,7,5
45.313574,-75.837039,2007,2015,8,6,5
45.313576,-75.834994,2007,2015,8,7,5
45.313614,-75.835078,2007,2015,8,7,5
45.313625,-75.823216,2007,2014,7,5,4
45.313626,-75.835107,2007,2015,8,7,5
45.313632,-75.835906,2007,2015,8,6,5
45.313646,-75.824598,2007,2014,7,4,4
45.313652,-75.823149,2007,2014,7,5,4
45.313661,-75.835187,2007,2015,8,7,5
45.313669,-75.829023,2007,2015,8,5,5
45.313675,-75.835217,2007,2015,8,6,5
45.313676,-75.825834,2007,2015,8,6,5
45.313699,-75.825778,2007,2015,8,6,5
45.313710,-75.835297,2007,2015,8,6,5
45.313715,-75.835828,2007,2015,8,6,5
45.313716,-75.835827,2007,2015,8,6,5
45.313719,-75.822982,2007,2014,7,5,4
45.313724,-75.835328,2007,2015,8,6,5
45.313747,-75.837265,2007,2015,8,6,5
45.313750,-75.822904,2007,2014,7,4,3
45.313795,-75.835752,2007,2015,8,5,5
45.313803,-75.837387,2007,2015,8,6,5
45.313805,-75.837389,2007,2015,8,6,5
45.313821,-75.825477,2007,2015,8,6,5
45.313831,-75.822704,2007,2014,7,5,4
45.313834,-75.833592,2007,2016,9,8,6
45.313844,-75.822672,2007,2014,7,5,4
45.313846,-75.824682,2007,2014,7,4,4
45.313851,-75.825401,2007,2015,8,6,5
45.313851,-75.836940,2007,2015,8,6,5
45.313853,-75.837494,2007,2015,8,6,5
45.313859,-75.837506,2007,2015,8,6,5
45.313860,-75.836933,2007,2015,8,6,5
45.313865,-75.824693,2007,2014,7,4,4
45.313882,-75.835670,2007,2015,8,4,3
45.313885,-75.833713,2007,2016,9,8,6
45.313910,-75.837615,2007,2015,8,6,5
45.313914,-75.837624,2007,2015,8,6,5
45.313931,-75.833824,2007,2016,9,8,6
45.313932,-75.822452,2007,2014,7,5,4
45.313947,-75.836850,2007,2015,8,6,5
45.313963,-75.837730,2007,2015,8,6,5
45.313964,-75.837731,2007,2015,8,6,5
45.313978,-75.833935,2007,2016,9,8,6
45.313987,-75.825061,2007,2015,8,6,5
45.314012,-75.837835,2007,2015,8,6,5
45.314016,-75.822247,2007,2014,7,5,4
45.314017,-75.837845,2007,2015,8,6,5
45.314024,-75.836778,2007,2015,8,6,5
45.314025,-75.834048,2007,2016,9,8,6
45.314032,-75.822207,2007,2014,7,5,4
45.314061,-75.835505,2007,2015,8,6,4
45.314063,-75.835503,2007,2015,8,6,4
45.314067,-75.837953,2007,2015,8,6,5
45.314069,-75.837956,2007,2015,8,6,5
45.314078,-75.834176,2007,2016,9,8,6
45.314099,-75.834225,2007,2016,9,8,6
45.314122,-75.838070,2007,2015,8,6,5
45.314123,-75.834279,2007,2016,9,7,5
45.314124,-75.838076,2007,2015,8,6,5
45.314127,-75.833424,2007,2016,9,8,6
45.314137,-75.820584,2007,2014,7,3,3
45.314142,-75.835429,2007,2015,8,4,4
45.314159,-75.821896,2007,2014,7,5,4
45.314164,-75.821886,2007,2014,7,5,4
45.314171,-75.833270,2007,2016,9,8,6
45.314174,-75.838182,2007,2015,8,6,5
45.314177,-75.838189,2007,2015,8,6,5
45.314181,-75.834412,2007,2016,9,8,6
45.314200,-75.836612,2007,2015,8,6,5
45.314227,-75.834518,2007,2016,9,8,6
45.314227,-75.838297,2007,2015,8,6,5
45.314228,-75.838297,2007,2015,8,6,5
45.314277,-75.838403,2007,2015,8,6,5
45.314277,-75.838405,2007,2015,8,6,5
45.314279,-75.834632,2007,2016,9,8,6
45.314289,-75.836529,2007,2015,8,6,5
45.314301,-75.821550,2007,2014,7,5,4
45.314305,-75.824948,2007,2015,8,7,5
45.314315,-75.824195,2007,2014,7,4,4
45.314329,-75.834738,2007,2016,9,8,6
45.314331,-75.838520,2007,2015,8,6,5
45.314334,-75.838526,2007,2015,8,6,5
45.314345,-75.820752,2007,2014,7,4,4
45.314347,-75.831477,2007,2015,8,5,5
45.314354,-75.831453,2007,2015,8,5,5
45.314358,-75.820762,2007,2014,7,4,4
45.314371,-75.836452,2007,2015,8,6,5
45.314381,-75.825645,2007,2015,8,7,5
45.314382,-75.824034,2007,2014,7,4,4
45.314382,-75.832528,2007,2015,8,5,5
45.314383,-75.834852,2007,2016,9,8,6
45.314384,-75.838633,2007,2015,8,6,5
45.314387,-75.838639,2007,2015,8,6,5
45.314411,-75.836820,2007,2015,8,6,5
45.314412,-75.836823,2007,2015,8,6,5
45.314417,-75.831231,2007,2015,8,5,5
45.314427,-75.832371,2007,2015,8,5,5
45.314438,-75.838748,2007,2015,8,6,5
45.314439,-75.838752,2007,2015,8,6,5
45.314451,-75.821183,2007,2014,7,5,4
45.314461,-75.825060,2007,2015,8,7,5
45.314463,-75.836367,2007,2015,8,6,5
45.314465,-75.836937,2007,2015,8,6,5
45.314466,-75.836363,2007,2015,8,6,5
45.314468,-75.825442,2007,2015,8,6,5
45.314468,-75.836942,2007,2015,8,6,5
45.314487,-75.838853,2007,2015,8,6,5
45.314489,-75.838859,2007,2015,8,6,5
45.314501,-75.823746,2007,2014,7,4,4
45.314516,-75.837044,2007,2015,8,6,5
45.314517,-75.837048,2007,2015,8,6,5
45.314529,-75.832188,2007,2015,8,5,5
45.314539,-75.838966,2007,2015,8,6,5
45.314540,-75.823651,2007,2014,7,4,4
45.314542,-75.838973,2007,2015,8,6,5
45.314567,-75.837155,2007,2015,8,6,5
45.314571,-75.837163,2007,2015,8,6,5
45.314594,-75.825234,2007,2015,8,6,5
45.314594,-75.839085,2007,2015,8,6,5
45.314613,-75.835346,2007,2016,9,9,6
45.314618,-75.837264,2007,2015,8,6,5
45.314619,-75.837266,2007,2015,8,6,5
45.314629,-75.829051,2007,2015,8,4,4
45.314637,-75.832000,2007,2015,8,6,5
45.314651,-75.823383,2007,2014,7,4,4
45.314655,-75.839215,2007,2015,8,6,5
45.314666,-75.820664,2007,2014,7,5,4
45.314674,-75.837383,2007,2015,8,6,5
45.314676,-75.837389,2007,2015,8,6,5
45.314701,-75.839314,2007,2015,8,6,5
45.314703,-75.823259,2007,2014,7,4,4
45.314722,-75.836125,2007,2015,8,6,5
45.314723,-75.837489,2007,2015,8,5,5
45.314727,-75.837497,2007,2015,8,5,5
45.314745,-75.820476,2007,2014,7,5,4
45.314756,-75.835656,2007,2016,9,9,6
45.314781,-75.837612,2007,2015,8,6,5
45.314785,-75.837621,2007,2015,8,6,5
45.314807,-75.823008,2007,2014,7,4,4
45.314826,-75.822962,2007,2014,7,4,4
45.314831,-75.837721,2007,2015,8,6,5
45.314834,-75.837727,2007,2015,8,6,5
45.314836,-75.820257,2007,2014,7,5,4
45.314847,-75.820231,2007,2014,7,5,4
45.314857,-75.839339,2007,2015,8,6,5
45.314867,-75.821172,2007,2014,7,4,4
45.314871,-75.821175,2007,2014,7,4,4
45.314872,-75.826802,2007,2015,8,8,5
45.314873,-75.826800,2007,2015,8,8,5
45.314882,-75.835929,2007,2016,9,6,5
45.314886,-75.829187,2007,2015,8,5,5
45.314888,-75.837842,2007,2015,8,6,5
45.314889,-75.825930,2007,2015,8,7,5
45.314891,-75.837849,2007,2015,8,6,5
45.314901,-75.825373,2007,2014,7,4,3
45.314930,-75.820033,2007,2014,7,5,4
45.314934,-75.839266,2007,2015,8,6,5
45.314934,-75.839267,2007,2015,8,6,5
45.314937,-75.837947,2007,2015,8,6,5
45.314940,-75.837953,2007,2015,8,6,5
45.314949,-75.826076,2007,2015,8,7,5
45.314959,-75.822642,2007,2014,7,4,4
45.314963,-75.832183,2007,2015,8,6,5
45.314969,-75.822618,2007,2014,7,4,4
45.314996,-75.838072,2007,2015,8,6,5
45.314997,-75.838076,2007,2015,8,6,5
45.315016,-75.836218,2007,2016,9,8,6
45.315019,-75.819829,2007,2014,7,4,3
45.315023,-75.821298,2007,2014,7,5,4
45.315024,-75.839181,2007,2015,8,6,5
45.315043,-75.825203,2007,2014,7,5,4
45.315045,-75.838177,2007,2015,8,6,5
45.315048,-75.838184,2007,2015,8,6,5
45.315058,-75.819739,2007,2014,7,4,4
45.315067,-75.836328,2007,2016,9,8,6
45.315096,-75.826435,2007,2015,8,7,5
45.315098,-75.838292,2007,2015,8,6,5
45.315100,-75.839109,2007,2015,8,6,5
45.315103,-75.838301,2007,2015,8,6,5
