LAT,LONG,YEAR1,YEAR2,PRED
45.312358,-75.733109,2009,2012,1
45.312675,-75.694045,2012,2014,1
45.313376,-75.692345,2009,2012,1
45.313376,-75.692345,2012,2012,1
45.313376,-75.692345,2012,2015,1
45.314191,-75.729481,2012,2014,1
45.314376,-75.727839,2009,2012,1
45.315038,-75.726104,2015,2016,1
45.315246,-75.692714,2014,2015,1
45.316255,-75.728315,2014,2015,1
45.316609,-75.727394,2014,2015,1
45.317008,-75.729357,2012,2014,1
45.317055,-75.725833,2012,2012,1
45.317564,-75.723820,2015,2016,1
45.317919,-75.725160,2012,2014,1
45.317919,-75.725160,2014,2015,1
45.318004,-75.726730,2012,2012,1
45.318150,-75.712819,2012,2012,1
45.318327,-75.720935,2009,2012,1
45.318440,-75.693379,2009,2012,1
45.318826,-75.722840,2009,2012,1
45.318873,-75.711539,2014,2015,1
45.319229,-75.710377,2009,2012,1
45.319479,-75.714470,2014,2015,1
45.319963,-75.692990,2012,2014,1
45.320015,-75.693352,2012,2014,1
45.320312,-75.718645,2009,2012,1
45.320736,-75.706657,2012,2014,1
45.320736,-75.706657,2014,2015,1
45.320776,-75.718888,2012,2014,1
45.321045,-75.738655,2009,2012,1
45.321069,-75.705774,2012,2014,1
45.321083,-75.741684,2009,2012,1
45.321250,-75.741784,2009,2012,1
45.321250,-75.741784,2012,2014,1
45.321265,-75.790267,2009,2012,1
45.321268,-75.737537,2014,2015,1
45.321270,-75.715614,2014,2015,1
45.321705,-75.705471,2009,2012,1
45.321781,-75.742102,2009,2012,1
45.321831,-75.787377,2009,2012,1
45.321841,-75.789394,2012,2015,1
45.321872,-75.740626,2009,2014,1
45.321875,-75.720605,2015,2015,1
45.322223,-75.783362,2009,2012,1
45.322223,-75.783362,2012,2012,1
45.322415,-75.717135,2012,2014,1
45.322429,-75.710287,2012,2014,1
45.322651,-75.786835,2012,2012,1
45.322742,-75.719940,2014,2015,1
45.322743,-75.736476,2014,2015,1
45.322842,-75.734594,2012,2012,1
45.322863,-75.783373,2012,2012,1
45.322870,-75.715159,2009,2012,1
45.322870,-75.715159,2014,2015,1
45.322870,-75.715159,2015,2015,1
45.322984,-75.742823,2009,2012,1
45.323068,-75.740638,2012,2015,1
45.323112,-75.784783,2009,2012,1
45.323182,-75.735191,2009,2012,1
45.323317,-75.702745,2009,2012,1
45.323346,-75.741504,2012,2014,1
45.323354,-75.708722,2009,2012,1
45.323385,-75.792062,2014,2015,1
45.323474,-75.735321,2009,2012,1
45.323474,-75.735321,2012,2014,1
45.323494,-75.736808,2012,2014,1
45.323494,-75.780622,2014,2015,1
45.323576,-75.738072,2014,2015,1
45.323625,-75.707058,2012,2014,1
45.323626,-75.705574,2009,2012,1
45.323760,-75.789636,2012,2012,1
45.323937,-75.735527,2009,2012,1
45.323985,-75.736981,2012,2014,1
45.324032,-75.704459,2014,2015,1
45.324065,-75.740410,2012,2014,1
45.324215,-75.734148,2012,2014,1
