LAT,LONG,YEAR1,YEAR2,PRED
45.312672,-75.695014,2012,2014,1
45.312675,-75.694045,2012,2014,1
45.312840,-75.731846,2009,2012,1
45.313376,-75.692345,2009,2012,1
45.313376,-75.692345,2012,2012,1
45.314099,-75.728567,2009,2012,1
45.314191,-75.729481,2012,2014,1
45.315658,-75.727460,2014,2015,1
45.316229,-75.722659,2009,2012,1
45.316699,-75.727940,2009,2012,1
45.317124,-75.692104,2009,2012,1
45.317258,-75.728705,2012,2014,1
45.317613,-75.719931,2009,2012,1
45.317861,-75.727110,2012,2012,1
45.317919,-75.725160,2014,2015,1
45.318327,-75.720935,2009,2012,1
45.318458,-75.693462,2009,2012,1
45.318458,-75.693462,2012,2014,1
45.318695,-75.711523,2012,2012,1
45.319745,-75.716084,2012,2014,1
45.319963,-75.692990,2009,2012,1
45.319963,-75.692990,2012,2014,1
45.320015,-75.693352,2009,2012,1
45.320015,-75.693352,2012,2014,1
45.320569,-75.739328,2012,2014,1
45.320672,-75.706878,2009,2012,1
45.320736,-75.706657,2014,2015,1
45.321265,-75.790267,2012,2015,1
45.321270,-75.715614,2012,2014,1
45.321270,-75.715614,2015,2016,1
45.321352,-75.715414,2015,2016,1
45.321575,-75.710810,2012,2014,1
45.321781,-75.742102,2009,2012,1
45.321857,-75.783549,2012,2012,1
45.321930,-75.714100,2009,2012,1
45.321968,-75.709901,2009,2012,1
45.322360,-75.735885,2009,2012,1
45.322410,-75.737935,2012,2014,1
45.322471,-75.739520,2009,2014,1
45.322651,-75.786835,2012,2012,1
45.322742,-75.719940,2012,2014,1
45.322742,-75.719940,2015,2016,1
45.322781,-75.741164,2012,2014,1
45.322820,-75.719879,2015,2016,1
45.322831,-75.741193,2012,2014,1
45.322842,-75.734594,2012,2012,1
45.322870,-75.715159,2009,2012,1
45.322910,-75.781323,2012,2012,1
45.323007,-75.736593,2012,2015,1
45.323019,-75.739489,2014,2015,1
45.323162,-75.738372,2012,2012,1
45.323162,-75.738372,2012,2014,1
45.323229,-75.735212,2012,2014,1
45.323231,-75.736692,2009,2012,1
45.323576,-75.738072,2014,2015,1
45.323673,-75.733905,2012,2014,1
45.323700,-75.708916,2009,2012,1
45.323713,-75.735427,2009,2012,1
45.323741,-75.713654,2012,2012,1
45.323972,-75.735543,2012,2015,1
45.323985,-75.736981,2014,2015,1
45.324004,-75.703046,2012,2012,1
45.324065,-75.740410,2012,2014,1
45.324232,-75.739355,2014,2015,1
45.324257,-75.704502,2014,2015,1
45.324446,-75.734252,2014,2015,1
45.324576,-75.714189,2014,2015,1
45.324710,-75.714300,2015,2016,1
45.324717,-75.712474,2009,2012,1
45.324717,-75.712474,2012,2012,1
45.324832,-75.788684,2014,2015,1
45.325077,-75.711473,2009,2012,1
45.325101,-75.764443,2007,2012,1
45.325165,-75.721011,2014,2015,1
45.325183,-75.720960,2012,2012,1
45.325183,-75.720960,2015,2015,1
45.325196,-75.734590,2012,2012,1
45.325316,-75.705836,2012,2014,1
45.325346,-75.700662,2009,2014,1
45.325346,-75.700662,2014,2015,1
45.325354,-75.783357,2012,2012,1
45.325391,-75.720381,2012,2012,1
45.325391,-75.720381,2014,2015,1
45.325396,-75.703473,2014,2015,1
